,case:german speaking,case:yearsOfEducation,case:age,case:gender,case:citizen,case:protected,case:case,case:CreditScore,Case_outcome,Target,case_start_date,case_end_date,lead_time_days,age_Childhood,age_Adolescence,age_Youth,age_Young Adult,age_Middle-Aged Adult,age_Pre-Retirement,age_Retired,yearsOfEducation_No Formal Education,yearsOfEducation_Elementary Education,yearsOfEducation_Secondary Education,yearsOfEducation_Higher Education,yearsOfEducation_Postgraduate Education,CreditScore_Low,CreditScore_Moderate,CreditScore_Medium,CreditScore_High,CreditScore_Excellent,Hand In Credit Appliaction -> Verify Borrowers Information,Make Visit to Assess Colatteral -> Make Visit to Assess Colatteral,Make Visit to Assess Colatteral -> Request Co-Signer On Loan,Make Visit to Assess Colatteral -> Submit File to Underwriter,Request Appointment -> Set Appointment,Request Co-Signer On Loan -> Make Visit to Assess Colatteral,Request Co-Signer On Loan -> Submit File to Underwriter,Set Appointment -> Hand In Credit Appliaction,Verify Borrowers Information -> Make Visit to Assess Colatteral,Verify Borrowers Information -> Request Co-Signer On Loan,Verify Borrowers Information -> Submit File to Underwriter,Verify Borrowers Information -> skipped_examination,Hotline -> Hotline,Hotline -> Online System,Hotline -> Resource 1,Hotline -> Resource 2,Hotline -> Resource 3,Hotline -> Resource 4,Hotline -> Resource 5,Loan Officer 1 -> Loan Officer 1,Loan Officer 1 -> Loan Officer 2,Loan Officer 1 -> Loan Officer 3,Loan Officer 1 -> Loan Officer 4,Loan Officer 1 -> Loan Officer 5,Loan Officer 2 -> Loan Officer 1,Loan Officer 2 -> Loan Officer 2,Loan Officer 2 -> Loan Officer 3,Loan Officer 2 -> Loan Officer 4,Loan Officer 2 -> Loan Officer 5,Loan Officer 3 -> Loan Officer 1,Loan Officer 3 -> Loan Officer 2,Loan Officer 3 -> Loan Officer 3,Loan Officer 3 -> Loan Officer 4,Loan Officer 3 -> Loan Officer 5,Loan Officer 4 -> Loan Officer 1,Loan Officer 4 -> Loan Officer 2,Loan Officer 4 -> Loan Officer 3,Loan Officer 4 -> Loan Officer 4,Loan Officer 4 -> Loan Officer 5,Loan Officer 5 -> Loan Officer 1,Loan Officer 5 -> Loan Officer 2,Loan Officer 5 -> Loan Officer 3,Loan Officer 5 -> Loan Officer 4,Loan Officer 5 -> Loan Officer 5,Online System -> Loan Officer 1,Online System -> Loan Officer 2,Online System -> Loan Officer 3,Online System -> Loan Officer 4,Online System -> Loan Officer 5,Resource 1 -> Hotline,Resource 1 -> Online System,Resource 1 -> Resource 1,Resource 1 -> Resource 2,Resource 1 -> Resource 3,Resource 1 -> Resource 4,Resource 1 -> Resource 5,Resource 2 -> Hotline,Resource 2 -> Online System,Resource 2 -> Resource 1,Resource 2 -> Resource 2,Resource 2 -> Resource 3,Resource 2 -> Resource 4,Resource 2 -> Resource 5,Resource 3 -> Hotline,Resource 3 -> Online System,Resource 3 -> Resource 1,Resource 3 -> Resource 2,Resource 3 -> Resource 3,Resource 3 -> Resource 4,Resource 3 -> Resource 5,Resource 4 -> Hotline,Resource 4 -> Online System,Resource 4 -> Resource 1,Resource 4 -> Resource 2,Resource 4 -> Resource 3,Resource 4 -> Resource 4,Resource 4 -> Resource 5,Resource 5 -> Hotline,Resource 5 -> Online System,Resource 5 -> Resource 1,Resource 5 -> Resource 2,Resource 5 -> Resource 3,Resource 5 -> Resource 4,Resource 5 -> Resource 5
58,1,10,63,0,0,1,1008,78,Negative,0,2015-01-05 00:01:33+00:00,2015-01-09 17:54:17+00:00,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
69,0,9,43,1,0,0,1009,64,Negative,0,2015-01-05 00:01:26+00:00,2015-01-09 12:25:34+00:00,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,9,41,0,0,1,101,60,Negative,0,2015-01-05 00:01:56+00:00,2015-01-08 14:09:10+00:00,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,12,56,1,0,0,1010,77,Negative,0,2015-01-05 00:00:27+00:00,2015-01-08 00:14:11+00:00,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
87,1,10,62,1,1,0,1011,76,Negative,0,2015-01-05 00:00:06+00:00,2015-01-08 22:28:49+00:00,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,0,3,46,1,1,0,1012,70,Negative,0,2015-01-05 00:00:10+00:00,2015-01-08 22:28:56+00:00,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,1,13,51,1,1,0,1014,87,Negative,0,2015-01-05 00:00:12+00:00,2015-01-08 00:13:10+00:00,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1,11,43,1,1,0,1015,73,Negative,0,2015-01-05 00:01:16+00:00,2015-01-08 22:28:12+00:00,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1,9,57,1,0,1,1016,65,Negative,0,2015-01-05 00:02:03+00:00,2015-01-08 19:41:34+00:00,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,7,71,0,0,1,1017,71,Negative,0,2015-01-05 00:02:07+00:00,2015-01-07 13:09:20+00:00,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1,8,59,0,0,1,1018,69,Negative,0,2015-01-05 00:00:41+00:00,2015-01-08 19:39:21+00:00,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
130,1,12,52,1,1,0,1019,77,Negative,0,2015-01-05 00:01:55+00:00,2015-01-08 22:29:21+00:00,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1,9,48,0,1,0,102,69,Negative,0,2015-01-05 00:02:32+00:00,2015-01-08 00:15:32+00:00,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0,4,49,0,0,1,1020,81,Positive,1,2015-01-05 00:00:39+00:00,2015-01-08 19:40:33+00:00,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
